author,text,likes,published_at,updated_at
@luanlu1139,a,0,2025-10-08T16:37:38Z,2025-10-08T16:37:38Z
@longnguyentrong2492,10đ shop ơi . Đúng gu tui rồi,0,2025-10-02T17:04:19Z,2025-10-02T17:04:19Z
@BongBua1998,Lâu quá rồi với gặp 1 nonstop hay như này ❤ 10₫🎉,0,2025-10-02T15:02:29Z,2025-10-02T15:02:29Z
@congnguyen-l1j,QS,0,2025-09-28T03:18:32Z,2025-09-28T03:18:32Z
@huyentran7548,XN,0,2025-09-28T03:01:34Z,2025-09-28T03:01:34Z
@BaoMinhHuynh-gd2cf,Hữu duyên bl,0,2025-09-27T13:29:34Z,2025-09-27T13:29:34Z
@QuyềnLục-u4p,❤,0,2025-09-26T19:29:18Z,2025-09-26T19:29:18Z
@trammusic698,👍,0,2025-09-26T16:32:39Z,2025-09-26T16:32:39Z
@HsiehkhechunBky,🎉🎉🎉🎉🎉,0,2025-09-26T14:27:12Z,2025-09-26T14:27:12Z
@sonanginh2998,.,0,2025-09-24T07:40:46Z,2025-09-24T07:40:46Z
@dongphuong1672,......,0,2025-09-24T06:52:14Z,2025-09-24T06:52:14Z
@tienthingo1058,🎉🎉🎉,0,2025-09-24T05:45:33Z,2025-09-24T05:45:33Z
@thaoluong2263,Càng cuối càng cuốn nhỉ❤,1,2025-09-22T12:22:53Z,2025-09-22T12:22:53Z
@thaoluong2263,❤,0,2025-09-22T12:05:24Z,2025-09-22T12:05:24Z
@ckiaitun7023,♥️,0,2025-09-19T07:09:05Z,2025-09-19T07:09:05Z
@ThuyLuong-h5w,Nhạc quá hay,1,2025-09-17T07:21:25Z,2025-09-17T07:21:25Z
@KhangHuynhvan-vc9rr,nhạc cháy nhaaa,9,2025-09-15T01:38:23Z,2025-09-15T01:38:23Z
@khanhta2225,hay,0,2025-09-13T11:29:27Z,2025-09-13T11:29:27Z
@aocu7023,đây mới gọi là nhạc chứ. bữa giờ nghe nhạc gì đâu k,3,2025-09-13T06:01:15Z,2025-09-13T06:01:15Z
@luxurymusicrin,nhạc cháy thế nhở,0,2025-09-12T11:28:12Z,2025-09-12T11:28:12Z
@ĐàoĐinh-s7m,Nhạc nghe hay quá,3,2025-09-12T04:09:01Z,2025-09-12T04:09:01Z
@deepslayrin,đỉnh thế nhỉ pro vip,0,2025-09-12T03:19:00Z,2025-09-12T03:19:00Z
@Ntxawgyang2004,Nhạc hay vl vậy mà it view,0,2025-09-12T01:43:52Z,2025-09-12T01:43:52Z
@farmsmalltv1043,❤,0,2025-09-11T21:07:59Z,2025-09-11T21:07:59Z
@phutran5095,Nhạc hay vậy mà ít view quá ta,0,2025-09-11T10:32:44Z,2025-09-11T10:32:44Z
@tct3853,s,0,2025-09-11T01:24:04Z,2025-09-11T01:24:04Z
@SóiKhang-e6d,hi,0,2025-09-10T11:54:33Z,2025-09-10T11:54:33Z
@mynguyentra5373,hay,0,2025-09-10T01:56:17Z,2025-09-10T01:56:17Z
@NongHGiang,hi,1,2025-09-10T01:14:57Z,2025-09-10T01:14:57Z
@Quoc_Anh2k,👍,0,2025-09-10T00:02:22Z,2025-09-10T00:02:22Z
@lychuvan7929,Mnvui🎉,0,2025-09-09T20:53:28Z,2025-09-09T20:53:28Z
@uocdanh5447,🎉🎉,0,2025-09-09T12:31:11Z,2025-09-09T12:31:11Z
@binhxuanha5282,😌,0,2025-09-09T09:25:35Z,2025-09-09T09:25:35Z
@anh_tu3849,👍,1,2025-09-08T09:57:24Z,2025-09-08T09:57:24Z
@luunguyen7293,Nhạc mix rất hay nhưng thiếu bass chút❤,0,2025-09-08T00:02:57Z,2025-09-08T00:02:57Z
@huyJ97,🎉🎉🎉🎉🎉,3,2025-09-07T05:53:59Z,2025-09-07T05:53:59Z
@BảoLò-v7b,Hayy goá bạn oi 🎉,3,2025-09-07T03:38:20Z,2025-09-07T03:38:20Z
@huy-rw1cq,❤️,0,2025-09-07T01:15:58Z,2025-09-07T01:15:58Z
@thangdohuu4308,Như lol,0,2025-09-07T01:14:44Z,2025-09-07T01:14:44Z
@HaiNgouc-py2mp,Hello bạn 🍭,1,2025-09-07T00:08:35Z,2025-09-07T00:08:35Z
@LongNguyen-oe1th,Ty🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,20,2025-09-06T13:04:51Z,2025-09-06T13:04:51Z
@AnhMinano,37:39 tên bài là j vậy ad,1,2025-09-06T08:25:30Z,2025-09-06T08:30:58Z
@TuNguyen-i8i4f,"Đừng buồn đừng sầu lệ hằn in trên khoé my
Buồn lòng làm chi khi người ta đã bỏ đi
Thà rằng ngày xưa đừng nên yêu thì biết đâu đến hôm nay
Không đau đớn như thế này
Họ từng là người mà em luôn luôn kề bên
Cùng từng đưa em đi dạo quanh con phố quen
Mà giờ đau thương em bủa vây từ đằng sau
Nước mắt ai lau cho em ở ngay lúc này
Em dành sự ưu tiên để em lo cho chuyện tình duyên
Nhưng mà có biết đâu tương lai em vẫn đang còn thiếu
Thiếu đi tấm chân tình thiếu hai chữ gia đình
Thiếu luôn cả bóng hình để đêm về cận kề yêu thương
Em nhìn lại em xem ai yêu thương em thật lòng hơn
Hay vì sợ cô đơn nên vội yêu thêm cuộc tình mới
Em phải cố gượng cười vùng vẫy giữa cuộc đời
Để tìm kiếm cho mình một mối tình thật lòng yêu em
Họ từng là người mà em luôn luôn kề bên
Cùng từng đưa em đi dạo quanh con phố quen
Mà giờ đau thương em bủa vây từ đằng sau
Nước mắt ai lau cho em ở ngay lúc này
Em dành sự ưu tiên để em lo cho chuyện tình duyên
Nhưng mà có biết đâu tương lai em vẫn đang còn thiếu
Thiếu đi tấm chân tình thiếu hai chữ gia đình
Thiếu luôn cả bóng hình để đêm về cận kề yêu thương
Em nhìn lại em xem ai yêu thương em thật lòng hơn
Hay vì sợ cô đơn nên vội yêu thêm cuộc tình mới
Em phải cố gượng cười vùng vẫy giữa cuộc đời
Để tìm kiếm cho mình một mối tình thật lòng yêu em
Em dành sự ưu tiên để em lo cho chuyện tình duyên
Nhưng mà có biết đâu tương lai em vẫn đang còn thiếu
Thiếu đi tấm chân tình thiếu hai chữ gia đình
Thiếu luôn cả bóng hình để đêm về cận kề yêu thương
Em nhìn lại em xem ai yêu thương em thật lòng hơn
Hay vì sợ cô đơn nên vội yêu thêm cuộc tình mới
Em phải cố gượng cười vùng vẫy giữa cuộc đời
Để tìm kiếm cho mình một mối tình thật lòng yêu em
Để tìm kiếm cho mình một mối tình thật lòng yêu em",7,2025-09-05T18:18:56Z,2025-09-05T18:18:56Z
@angquanbaoanh2335,hay,0,2025-09-05T15:22:55Z,2025-09-05T15:22:55Z
@VươngHà-v5b,❤😊😊😊,3,2025-09-05T12:28:32Z,2025-09-05T12:28:32Z
@Dancecovera2,hay,0,2025-09-05T08:31:58Z,2025-09-05T08:31:58Z
@tuamua-ch1gi,❤️❤️❤️❤️❤️❤️❤️❤️❤️,4,2025-09-05T07:10:48Z,2025-09-05T07:10:48Z
@THAI-rg2nt,hay,7,2025-09-04T22:27:53Z,2025-09-04T22:27:53Z
